trial,sample,image,relative_time_s,measurement_y,left_x,right_x,status,note,lane_center_x,signed_error_px,abs_error_px,squared_error_px2
CNN_01R1,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/248_cam_image_array_.jpg,12.402,78,21.0,102,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",61.5,-18.5,18.5,342.25
CNN_02R1,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/0_cam_image_array_.jpg,0.0,78,36.5,119,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",77.75,-2.25,2.25,5.0625
CNN_02R1,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/28_cam_image_array_.jpg,1.369,78,,117,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_02R1,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/55_cam_image_array_.jpg,2.719,78,24.0,104,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",64.0,-16.0,16.0,256.0
CNN_02R1,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/83_cam_image_array_.jpg,4.123,78,19.0,100,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",59.5,-20.5,20.5,420.25
CNN_02R1,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/110_cam_image_array_.jpg,5.479,78,,103,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_02R1,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/138_cam_image_array_.jpg,6.877,78,36.5,120,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",78.25,-1.75,1.75,3.0625
CNN_02R1,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/165_cam_image_array_.jpg,8.229,78,,109,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_02R1,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/192_cam_image_array_.jpg,9.582,78,,94,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_02R1,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/220_cam_image_array_.jpg,10.993,78,17.5,102,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",59.75,-20.25,20.25,410.0625
CNN_02R1,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/247_cam_image_array_.jpg,12.345,78,,103,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_02,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000006_raw.png,0.0,78,45.0,125,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",85.0,5.0,5.0,25.0
OpenCV_02,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000033_raw.png,1.272,78,,121,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_02,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000060_raw.png,2.544,78,39.5,117,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",78.25,-1.75,1.75,3.0625
OpenCV_02,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000087_raw.png,3.816,78,,119,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_02,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000114_raw.png,5.088,78,41.5,120,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",80.75,0.75,0.75,0.5625
OpenCV_02,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000141_raw.png,6.361,78,35.5,119,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",77.25,-2.75,2.75,7.5625
OpenCV_02,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000168_raw.png,7.633,78,,118,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_02,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000194_raw.png,8.858,78,45.0,124,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",84.5,4.5,4.5,20.25
OpenCV_02,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000221_raw.png,10.13,78,,122,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_02,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000248_raw.png,11.402,78,,118,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_03,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000006_raw.png,0.0,78,45.0,124,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",84.5,4.5,4.5,20.25
OpenCV_03,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000033_raw.png,1.272,78,39.5,121,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",80.25,0.25,0.25,0.0625
OpenCV_03,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000063_raw.png,2.686,78,39.5,117,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",78.25,-1.75,1.75,3.0625
OpenCV_03,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000090_raw.png,3.958,78,37.5,119,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",78.25,-1.75,1.75,3.0625
OpenCV_03,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000117_raw.png,5.23,78,,119,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_03,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000144_raw.png,6.502,78,,118,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_03,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000174_raw.png,7.915,78,,121,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_03,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000201_raw.png,9.187,78,,121,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_03,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000230_raw.png,10.554,78,28.5,121,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",74.75,-5.25,5.25,27.5625
OpenCV_03,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000257_raw.png,11.826,78,40.0,121,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",80.5,0.5,0.5,0.25
OpenCV_01R1,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000006_raw.png,0.0,78,39.5,123,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",81.25,1.25,1.25,1.5625
OpenCV_01R1,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000033_raw.png,1.272,78,37.5,121,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",79.25,-0.75,0.75,0.5625
OpenCV_01R1,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000060_raw.png,2.544,78,,116,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_01R1,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000090_raw.png,3.958,78,35.5,119,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",77.25,-2.75,2.75,7.5625
OpenCV_01R1,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000117_raw.png,5.23,78,,120,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_01R1,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000144_raw.png,6.502,78,,119,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_01R1,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000171_raw.png,7.774,78,,117,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
OpenCV_01R1,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000201_raw.png,9.188,78,41.0,121,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",81.0,1.0,1.0,1.0
OpenCV_01R1,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000228_raw.png,10.46,78,31.5,120,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",75.75,-4.25,4.25,18.0625
OpenCV_01R1,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000255_raw.png,11.732,78,,118,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
